area,bedrooms,bathrooms,location,price
1563.0,3.0,3.0,Assam,11212605.0
1519.0,2.0,2.0,Punjab,9357623.0
1571.0,4.0,3.0,Mizoram,13746801.0
1748.0,3.0,4.0,Karnataka,25031711.0
1742.0,2.0,3.0,Karnataka,25495127.0
1124.0,2.0,3.0,Tamil Nadu,14304739.0
2067.0,3.0,3.0,Assam,14599174.0
910.0,2.0,3.0,Odisha,4834869.0
1333.0,3.0,3.0,Dadra and Nagar Haveli and Daman and Diu,7818045.0
1493.0,5.0,6.0,Assam,10593458.0
1803.0,1.0,1.0,Lakshadweep,10782622.0
1814.0,1.0,1.0,West Bengal,8679903.0
2486.0,5.0,5.0,Puducherry,25287384.0
2519.0,3.0,3.0,Punjab,18404881.0
1342.0,2.0,3.0,Odisha,8806091.0
3157.0,4.0,3.0,Rajasthan,22131049.0
1692.0,4.0,5.0,Lakshadweep,15128617.0
1741.0,3.0,2.0,Bihar,11041929.0
1427.0,3.0,3.0,Tamil Nadu,16911066.0
1658.0,2.0,3.0,Kerala,18717009.0
1701.0,1.0,1.0,Lakshadweep,10143764.0
1367.0,3.0,4.0,Jammu and Kashmir,12328129.0
2133.0,2.0,3.0,Chhattisgarh,15528945.0
1433.0,3.0,4.0,Uttar Pradesh,10816401.0
2150.0,4.0,4.0,Rajasthan,18125468.0
886.0,1.0,1.0,Mizoram,4571154.0
1919.0,3.0,2.0,Jharkhand,16818315.0
1228.0,2.0,2.0,Sikkim,9140698.0
1975.0,4.0,5.0,Madhya Pradesh,19500215.0
1038.0,2.0,2.0,Karnataka,12173694.0
2873.0,3.0,3.0,Kerala,33529351.0
1675.0,3.0,2.0,Delhi,23620623.0
686.0,2.0,2.0,Assam,5072657.0
1227.0,3.0,2.0,Madhya Pradesh,7744650.0
1649.0,3.0,4.0,Telangana,25916907.0
2400.0,3.0,3.0,Arunachal Pradesh,21343320.0
2142.0,4.0,3.0,Tamil Nadu,29887280.0
2786.0,5.0,4.0,Sikkim,29542687.0
1314.0,2.0,3.0,Goa,15368657.0
1859.0,3.0,4.0,Meghalaya,13434146.0
826.0,1.0,2.0,Chandigarh,8701861.0
1796.0,4.0,3.0,Punjab,12320626.0
957.0,3.0,2.0,Odisha,5958626.0
1117.0,2.0,1.0,Himachal Pradesh,10236865.0
1963.0,2.0,3.0,Arunachal Pradesh,14264402.0
1494.0,4.0,5.0,Uttarakhand,19191193.0
1859.0,2.0,3.0,Kerala,17374140.0
